ngram,freq_fg,relfreq_fg,freq_bg,relfreq_bg,phrase,inform,score
sec panelo,2,100,0,0.000328834,16.5113971,12.62512682,29.13652392
winning labas,2,100,0,0.000866927,16.5113971,11.65572626,28.16712336
crowds never,2,100,0,0.000577951,16.10593199,12.06119137,28.16712336
large crowds,2,100,0,0.000866927,16.5113971,11.65572626,28.16712336
next election,3,100,0,0.000442686,15.70046688,12.32782003,28.02828692
becomes full,2,100,0,0.000866927,16.10593199,11.65572626,27.76165825
wisely next,3,100,0,0.000577951,15.70046688,12.06119137,27.76165825
checked regularly,2,100,0,0.000866927,15.81824992,11.65572626,27.47397618
chupa valentines,2,100,0,0.000866927,15.81824992,11.65572626,27.47397618
bio weapon,3,100,0,0.000650195,15.41278481,11.94340834,27.35619314
ligtas laging,4,100,0,0.000770602,14.43195556,11.7735093,26.20546486
flat earther,2,100,0,0.008669267,16.5113971,9.353141171,25.86453827
magsuot mask,2,100,0,0.000433463,13.33334327,12.34887344,25.68221671
disappear hours,2,100,0,0.008669267,16.10593199,9.353141171,25.45907316
holding hands,2,100,0,0.000866927,13.67818375,11.65572626,25.33391002
mahina immune,2,100,0,0.000866927,13.51566482,11.65572626,25.17139109
matulog sapat,2,100,0,0.008669267,15.81824992,9.353141171,25.17139109
lumayo matataong,3,100,0,0.008669267,15.70046688,9.353141171,25.05360805
side mask,2,100,0,0.000866927,13.33334327,11.65572626,24.98906953
paghuhugas kamay,2,100,0,0.008669267,15.41278481,9.353141171,24.76592598
strengthen immune,3,100,0,0.000866927,13.11019972,11.65572626,24.76592598
matataong lugar,3,100,0,0.008669267,15.0073197,9.353141171,24.36046087
drowning water,2,100,0,0.008669267,14.63959492,9.353141171,23.99273609
clarifies covid,2,100,0,0.000866927,11.84325211,11.65572626,23.49897838
product china,2,100,0,0.008669267,14.11350182,9.353141171,23.466643
makaiwas covid,4,100,0,0.000577951,11.15010493,12.06119137,23.2112963
makakaiwas sakit,3,100,0,0.008669267,13.70803672,9.353141171,23.06117789
unclean hands,2,100,0,0.008669267,13.67818375,9.353141171,23.03132492
iboost immune,2,100,0,0.008669267,13.51566482,9.353141171,22.86880599
rep bayani,1,100,1,3.91368425,17.89769146,3.240690992,21.13838245
starting monday,1,100,1,4.500650195,17.89769146,3.100948312,20.99863977
watch subscribe,1,100,1,2.727982031,17.20454428,3.601608033,20.80615231
show generic,1,100,1,6.000693541,17.89769146,2.813295133,20.71098659
france show,1,100,1,6.923877163,17.89769146,2.67019429,20.56788575
drugs percent,1,100,1,7.500866927,17.89769146,2.590151582,20.48784304
rates dengue,1,100,1,9.000780234,17.89769146,2.40785892,20.30555038
mayor joy,1,100,3,9.355509879,17.89769146,2.369204724,20.26689618
crazy cop,1,100,1,10.00086693,17.89769146,2.302498404,20.20018986
crash landing,1,100,1,11.25086693,17.89769146,2.184725,20.08241646
boost immune,13,86.66666667,0,0.000866927,9.843306165,9.977608697,19.82091486
conference regarding,1,100,1,5.294882582,16.79907917,2.938429382,19.73750855
trials france,1,100,1,18.00086693,17.89769146,1.714750267,19.61244173
call center,1,100,1,4.091776018,16.28825355,3.196191076,19.48444462
