tweet,link
"Though we already miss all of you, we are more concerned for your safety and well-being. We have to temporarily close our doors to the public in compliance with the enhanced community quarantine against the COVID-19… https://www.instagram.com/p/B9zFYqdlD6o/?igshid=197nb77l7jlib",https://twitter.com/WilsonandAyache/status/1239561981398573056
"4th is the very best,if this duggong ordered at once rhe blocking of all chinese nationals from entering our ports and airports,there is no way for ncov to enter our country",https://twitter.com/junepineda8/status/1223360728167415808
NCov Is less lethal than SARS but more contagious and infectious. The first death outside of China is a 44 year old male who suddenly died without the public being alerted on day one or even at ICU. Being young he must have been immune competent. Are we missing something?,https://twitter.com/DrTonyLeachon/status/1224193312858374146
NCov Is less lethal than SARS but more contagious and infectious. The first death outside of China is a 44 year old male who suddenly died without the public being alerted on day one or even at ICU. Being young he must have been immune competent. Are we missing something?,https://twitter.com/DrTonyLeachon/status/1224192707687354369
NCov Is less lethal than SARS but more contagious and infectious. The first death outside of China is a 44 year old male who suddenly died without the public being alerted on day one or even at ICU. Being young he must have been immune competent. Are we missing something?,https://twitter.com/DrTonyLeachon/status/1224192812276543488
NCov Is less lethal than SARS but more contagious and infectious. The first death outside of China is a 44 year old male who suddenly died without the public being alerted on day one or even at ICU. Being young he must have been immune competent. Are we missing something?,https://twitter.com/DrTonyLeachon/status/1224192919076102145
NCov Is less lethal than SARS but more contagious and infectious. The first death outside of China is a 44 year old male who suddenly died without the public being alerted on day one or even at ICU. Being young he must have been immune competent. Are we missing something?,https://twitter.com/DrTonyLeachon/status/1224193101327036416
NCov Is less lethal than SARS but more contagious and infectious. The first death outside of China is a 44 year old male who suddenly died without the public being alerted on day one or even at ICU. Being young he must have been immune competent. Are we missing something?,https://twitter.com/DrTonyLeachon/status/1224193140241780736
"We support the Philippine government’s effort to contain the spread the COVID-19. In this light, our clinic will be CLOSED until further notice. Kindly contact us for online consultation, scheduling of treatments,… https://www.instagram.com/p/B90csbbp_3T/?igshid=10bkgfyby8ggz",https://twitter.com/dermalogique1/status/1239753981892669442
"In cooperation with the national efforts to prevent the spread of Covid-19, pls be informed that Toyota Bacoor Cavite will have no operations &amp; will be closed until further notice. We encourage our customers &amp; members to promote general welfare by staying at home. Stay safe! – at TOYOTA BACOOR CAVITE",https://twitter.com/TyphoonRain/status/1239557908213297153
Off timing. We need media right now in info dissemination during this crisis. #nCoV_2019 - our government needs focus on main goals confronting our country. Who’s in charge right now ? ,https://twitter.com/DrTonyLeachon/status/1226727681451933697
Maybe un ginaganap na Bentahan sa loob ng QC Circle na bentahan ng Murang Gulay na Mabisang Panlaban sa #Covid Laking Tulong pa sa mga Magsasaka Natin :),https://twitter.com/MrPepsiLLas/status/1236121907855904769
Nothing to PANIC Nothing to WORRY HE is with us I have survive CANCER THEN I will survive COVID-19 #trustinHIM @Resurrection of Our Lord Parish (ROLP) - Paltok https://www.instagram.com/p/B9og4kwn6KRRrNZkFe6CNCDNWp2kNuzY6I35A00/?igshid=1rxlwfjtemdkw,https://twitter.com/james_rhett/status/1238074334771580931
buti nalang hindi namin need makipagsabayan sa mga bumibili ng alcohol ngayon kase wala pa mang “ncov” may stock na akong dalawang bote... Laking tulong den saken na adik ako sa alcohol ,https://twitter.com/lynassen/status/1238837671125864452
"Today I learned that PGH will be designated as a CoVid center of NCR. Today I learned that one of my previous intern, now a resident from my previous hospital was intubated after experiencing difficulty of breathing. Today I learned that 2 of my previous mentors were confined. ",https://twitter.com/shielaputol_md/status/1240991578056871937
"Ayan, uso n naman magpanic dahil sa COVID-19. Eto lang masasabi ko n malaking tulong pampalakas ng resistensya. Details: http://Bit.ly/OrderOneOptiJuice #Philippines #covidoutbreak #COVID2019 #covid #Pinoy #Filipino #MetroManila #healthiswealth #prevention #healthylifestyle",https://twitter.com/sulatnabentapa/status/1237036688351739906
"Sa totoo lang, mas natatakot ako sa train of thought ni Duterte kaysa sa COVID-19. Sa ganitong sitwasyon, pulis at militar talaga ang ikakalat? Bakit hindi health professionals? Mukhang sinasamantala na naman ng mga naghahari-harian ang sitwasyon. Martial Law? Abangan.",https://twitter.com/_chadandaya/status/1238101430054973440
Decided to cancel my Macau/Hong Kong trip this February. Disneyland and Ocean Park are temporarily closed. Hoping that this nCov concern will be contained and resolved the soonest. ,https://twitter.com/ShearlMarwin/status/1221581593438896128
Kasing bilis ng Ncov,https://twitter.com/ygnravelo/status/1237719780058005504
Mag lagay ng alcohol sa kamay para maiwas sa COVID 19 @Sitio San Roque Brgy. Sangandaan Q.c https://www.instagram.com/p/B9tAXjehIEl/?igshid=4d3rieemw0so,https://twitter.com/jaypeeboyadizas/status/1238706518205349894
"Sa mga concerned na ahensya, paigtingin ang kampanya para maisulong ang kahalagahan ng proper hygiene at iba pang hakbang para makaiwas sa covid 19 tulad ng proper coughing etiquette, pagpostpone ng mga mass gatherings atbp",https://twitter.com/carizperegrino/status/1238346877847736320
"Si ate nga na laging nasa hospital, mas prone mahawaan ng nCoV ano nahawaan ba siya???? MY GOSH TALAGA.",https://twitter.com/samnthjyx/status/1225943608349454338
Wild animals are not meant to be eaten. Most deadly virus came from them. AIDS from chimpanzees EBOLA is prevalent among monkeys Rabies from most forest animals including racoon & bats SARS and nCOV from small mammals.,https://twitter.com/jazjez08/status/1223027658532904960
You can fight me but the government doesn’t seem to care. If anything worst happens to us. You should be charged for treason. #nCoV,https://twitter.com/blu3inblu3/status/1223045002684534784
Sabi nung nag-comment sa FB post ko...”DAPAT NOON PA HINDE NA PINAPASOK ANG MGA CHINESE NATIONALS DITO SA ATIN. DAHIL SILA ANG DAHILAN SA PRESENT SITUATION NATIN AS IN ANG NAGDALA NG COVID-19.” - to be continued...,https://twitter.com/YvetteYzon/status/1237951402602713088
"If you want the latest on CoVid19 straight from DOH, join their official Viber Group, DOH PH COVID-19 Chatting is disabled, so you’ll only receive what’s latest #COVID2019 #COVID19PH",https://twitter.com/Jannn1129/status/1240212154533343233
"From Montalban, Rizal to Makati, I always leave the house 3 hrs before my shift. Kung mas aagahan ko pa aba baka magka-COVID-19 din ako dahil lagapak na resistensya ko. ",https://twitter.com/theLDexperience/status/1239421214331785216
"TB is a bacterial infection, nCoV is viral. Kaya trending sya ngayon. Paki-RT mga DDS! #0202 #02022020",https://twitter.com/DaOtherEye/status/1223862054844391425
JUST IN: A congressional staff member from the House of Representatives who is considered as Person Under Investigation died without knowing the results of CoVID 19 test,https://twitter.com/kim_badbadon/status/1241188636629950465
House confirms a congressional staff member died without knowing results for own COVID 19 test. details to follow,https://twitter.com/kim_badbadon/status/1241199437306707969
Happy Valentines Day people! May quick survey ako today: #Jojowain o N-nCoV-in ? (NCoV: no cash on valentines day). Vote wisely. #ValentinesDay2020 #Valentines,https://twitter.com/gonnabedess/status/1228130466009513990
"BALA KA NA JAN BHE. MALAKI KA NA. KAIN KA NALANG MARAMING BIGAS PARA IWAS COVID 19, SABI NI d¡g0nG ;* ",https://twitter.com/jnsnbdjcdrn/status/1237321679061147649
