tweet,from_GOT3,link,author_id,created_at,geo_name,geo_id,retweeters,public_metrics
"Though we already miss all of you, we are more concerned for your safety and well-being. We have to temporarily close our doors to the public in compliance with the enhanced community quarantine against the COVID-19… https://t.co/aiMAUnaUmg","Though we already miss all of you, we are more concerned for your safety and well-being. We have to temporarily close our doors to the public in compliance with the enhanced community quarantine against the COVID-19… https://www.instagram.com/p/B9zFYqdlD6o/?igshid=197nb77l7jlib",https://twitter.com/WilsonandAyache/status/1239561981398573056,[249514911],2020-03-16T14:39:40.000Z,"Lungsod ng Makati, Pambansang Punong Rehiyon",017a4afa29d71c65,[],"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}"
"@FielRev 4th is the very best,if this duggong ordered at once rhe blocking of all chinese nationals from entering our ports and airports,there is no way for ncov to enter our country","4th is the very best,if this duggong ordered at once rhe blocking of all chinese nationals from entering our ports and airports,there is no way for ncov to enter our country",https://twitter.com/junepineda8/status/1223360728167415808,[1107831770001477632],2020-01-31T21:41:41.000Z,"Lungsod ng Caloocan, Pambansang Punong Rehiyon",00ed6f0947c230f4,[],"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}"
@DZMMTeleRadyo NCov Is less lethal than SARS but more contagious and infectious. The first death outside of China is a 44 year old male who suddenly died without the public being alerted on day one or even at ICU. Being young he must have been immune competent. Are we missing something?,NCov Is less lethal than SARS but more contagious and infectious. The first death outside of China is a 44 year old male who suddenly died without the public being alerted on day one or even at ICU. Being young he must have been immune competent. Are we missing something?,https://twitter.com/DrTonyLeachon/status/1224193312858374146,[500825663],2020-02-03T04:50:04.000Z,"Lungsod ng Maynila, Pambansang Punong Rehiyon",01bb53b81ba40196,[122329323],"{'retweet_count': 1, 'reply_count': 0, 'like_count': 3, 'quote_count': 0}"
@gerardnaval @Malaya_Online NCov Is less lethal than SARS but more contagious and infectious. The first death outside of China is a 44 year old male who suddenly died without the public being alerted on day one or even at ICU. Being young he must have been immune competent. Are we missing something?,NCov Is less lethal than SARS but more contagious and infectious. The first death outside of China is a 44 year old male who suddenly died without the public being alerted on day one or even at ICU. Being young he must have been immune competent. Are we missing something?,https://twitter.com/DrTonyLeachon/status/1224192707687354369,[500825663],2020-02-03T04:47:40.000Z,"Lungsod ng Maynila, Pambansang Punong Rehiyon",01bb53b81ba40196,[],"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}"
@pnagovph @SecDuque @azereraser @DOHgov NCov Is less lethal than SARS but more contagious and infectious. The first death outside of China is a 44 year old male who suddenly died without the public being alerted on day one or even at ICU. Being young he must have been immune competent. Are we missing something?,NCov Is less lethal than SARS but more contagious and infectious. The first death outside of China is a 44 year old male who suddenly died without the public being alerted on day one or even at ICU. Being young he must have been immune competent. Are we missing something?,https://twitter.com/DrTonyLeachon/status/1224192812276543488,[500825663],2020-02-03T04:48:05.000Z,"Lungsod ng Maynila, Pambansang Punong Rehiyon",01bb53b81ba40196,[],"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}"
@romerojo7 @Teddybird @HRhorribles @August17671 @itsLJHeart @ReighPatrick @raincyrainy @little_b_o_y NCov Is less lethal than SARS but more contagious and infectious. The first death outside of China is a 44 year old male who suddenly died without the public being alerted on day one or even at ICU. Being young he must have been immune competent. Are we missing something?,NCov Is less lethal than SARS but more contagious and infectious. The first death outside of China is a 44 year old male who suddenly died without the public being alerted on day one or even at ICU. Being young he must have been immune competent. Are we missing something?,https://twitter.com/DrTonyLeachon/status/1224192919076102145,[500825663],2020-02-03T04:48:30.000Z,"Lungsod ng Maynila, Pambansang Punong Rehiyon",01bb53b81ba40196,[],"{'retweet_count': 2, 'reply_count': 1, 'like_count': 7, 'quote_count': 0}"
@gerardnaval @Malaya_Online @DOHgov NCov Is less lethal than SARS but more contagious and infectious. The first death outside of China is a 44 year old male who suddenly died without the public being alerted on day one or even at ICU. Being young he must have been immune competent. Are we missing something?,NCov Is less lethal than SARS but more contagious and infectious. The first death outside of China is a 44 year old male who suddenly died without the public being alerted on day one or even at ICU. Being young he must have been immune competent. Are we missing something?,https://twitter.com/DrTonyLeachon/status/1224193101327036416,[500825663],2020-02-03T04:49:14.000Z,"Lungsod ng Maynila, Pambansang Punong Rehiyon",01bb53b81ba40196,[],"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}"
@cnnphilippines NCov Is less lethal than SARS but more contagious and infectious. The first death outside of China is a 44 year old male who suddenly died without the public being alerted on day one or even at ICU. Being young he must have been immune competent. Are we missing something?,NCov Is less lethal than SARS but more contagious and infectious. The first death outside of China is a 44 year old male who suddenly died without the public being alerted on day one or even at ICU. Being young he must have been immune competent. Are we missing something?,https://twitter.com/DrTonyLeachon/status/1224193140241780736,[500825663],2020-02-03T04:49:23.000Z,"Lungsod ng Maynila, Pambansang Punong Rehiyon",01bb53b81ba40196,[929160699753897985],"{'retweet_count': 1, 'reply_count': 0, 'like_count': 5, 'quote_count': 0}"
"We support the Philippine government's effort to contain the spread the COVID-19. In this light, our clinic will be CLOSED until further notice. 

Kindly contact us for online consultation, scheduling of treatments,… https://t.co/wVIR2GE1m5","We support the Philippine government’s effort to contain the spread the COVID-19. In this light, our clinic will be CLOSED until further notice. Kindly contact us for online consultation, scheduling of treatments,… https://www.instagram.com/p/B90csbbp_3T/?igshid=10bkgfyby8ggz",https://twitter.com/dermalogique1/status/1239753981892669442,[3185770046],2020-03-17T03:22:37.000Z,"Lungsod ng Makati, Pambansang Punong Rehiyon",017a4afa29d71c65,[],"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}"
"In cooperation with the national efforts to prevent the spread of Covid-19, pls be informed that Toyota Bacoor Cavite will have no operations &amp; will be closed until further notice.

We encourage our customers &amp; members to promote general welfare by staying at home. Stay safe!💙❤️","In cooperation with the national efforts to prevent the spread of Covid-19, pls be informed that Toyota Bacoor Cavite will have no operations &amp; will be closed until further notice. We encourage our customers &amp; members to promote general welfare by staying at home. Stay safe! – at TOYOTA BACOOR CAVITE",https://twitter.com/TyphoonRain/status/1239557908213297153,[542475805],2020-03-16T14:23:29.000Z,[Place name removed],0a6407f8ef967000,[],"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}"
