tweet,date,time,link
mas marami pa ang infected ng tiktok virus kesa covid jusko mama,2020-03-21,16:50:00+00:00,https://twitter.com/fvckingjheaaan/status/1241406717633544192
Praise God If This True!! - A CORONAVIRUS CURE? Trials in France show GENERIC drugs have 100 percent... https://youtu.be/bM6vNRSKT4Y via @YouTube,2020-03-21,14:08:58+00:00,https://twitter.com/alvinanson/status/1241366194512257029
Reduce your risk of corona virus. No to Covid-19 #safetyfirst Open for #FRANCHISE #LowFranchiseFee 09151060888 09955770628 #MarianRivera #NAILANDIA #nailspafranchise #nailspa #nails #spa #business #businessopportunity #Covid_19,2020-03-21,13:29:12+00:00,https://twitter.com/NailandiaSpa/status/1241356186739298304
Let’s fight COVID.. ooppss i mean boredom EZ GAMING (The Witcher ) https://youtu.be/ZwdCNtsMrsA via @YouTube,2020-03-21,13:24:08+00:00,https://twitter.com/GuineBeck/status/1241354910341287937
"Becareful with Fake whatsapp forwards. Coronavirus survives on surfaces up to 72 hours. Virus will not disappear in 14 hours. It can survive up to 3 days on surfaces itself, up to 14 days in a normal person even if there’s no symptoms. #coronavirus #Covid_19 #CoronaCrisis",2020-03-21,12:39:21+00:00,https://twitter.com/DrSunilKumar_/status/1241343641823535104
"Relief goods or kahit anong paambon ng Barangay dito sa amin -WALA. Isama mo pa ang pa alcohol, vitamins, facemasks, kahit yung Quarantine Pass.... Ang bagal! Pero nung eleksyon, panay ang daan ng daan. Paging @VicoSotto fyi lang po. Ikaw nalang aasahan. #COVID19PH #Covid_19",2020-03-21,12:08:45+00:00,https://twitter.com/Deactivate2585/status/1241335940896952320
"This WhatsApp forward being spread by Bhakts is fake. Virus will not disappear in 14 hours. It can survive up to 3 days on surfaces itself, up to 14 days in a normal person even if there’s no symptoms. #Covid_19 #CoronaCrisis",2020-03-21,11:51:26+00:00,https://twitter.com/DrSunilKumar_/status/1241331582272598016
"Tangina mo, Covid-19. Nurse na nagsabi sa’kin magbeer ako para maiwasan ka. Gago, aaraw-arawin ko na ‘to. Hindi ka makakapasok sa sistema ko. Ulol. Me is lasing atm ",2020-03-21,11:25:01+00:00,https://twitter.com/kristinemareljj/status/1241324934376214528
"habang binabalot kami ng takot dito biglang kumana si jheylliane ‘hala product of china tong kinakain ko baka may covid to’ then sumagot si papa ‘nakita mo nang product of china,kinain mo pa’ ",2020-03-21,11:17:18+00:00,https://twitter.com/__eliiiiiiii/status/1241322992765829120
"(1) How to avoid COVID and stay healthy? Andyan ang pagsusuot ng mask, hand washing, proper hygiene and social distancing. Pero bukod dun, dapat din natin iBOOST ang ating immune system by eating healthy foods and taking vitamins such as these. ",2020-03-21,08:15:40+00:00,https://twitter.com/iamnicolefaller/status/1241277281722458113
