tweet,date,time,link
"This is AMAZING!!! Korea’s COVID-19 ""phone booths"" testing centers, WOW!!! Care and concern, creativity and ingenuity at it’s best Let us #StopTheSpread of #COVID19 ",2020-03-21,23:56:39+00:00,https://twitter.com/mabuhayqueen/status/1241514088049471488
"As this pandemic goes on, pace yourself. Limit the fucks you give to the essentials in your life. #pandemic #covid19 #coronavirus #covid19thoughts #zerofucksgiven #nofucksgiven",2020-03-21,23:37:28+00:00,https://twitter.com/i_am_allen09/status/1241509259709272064
"“Stay healthy and, above all, keep calm.” Mindanao-based Kuya Duoi Ampilan shares his reflections on #coronavirus and insights from his experiences as a frontline responder assigned to communities affected by the deadly Ebola virus in Liberia and Sierra Leone. #COVID19PH",2020-03-21,23:16:42+00:00,https://twitter.com/pa3ciamiranda/status/1241504034864812033
"hays kapag updated ka sa news ng covid cases tapos basa ka ng basa, ganto mapapala mo uumagahin ka talaga!",2020-03-21,22:29:52+00:00,https://twitter.com/shbrigetteee/status/1241492249147367424
"As of Saturday, the Philippines has recorded 307 cases of COVID-19, with 19 deaths and 13 recoveries. #CoronaPanik #Covid_19 #philippine",2020-03-21,19:53:19+00:00,https://twitter.com/Ghazitawfige/status/1241452851500474368
READ! #CoronaVirus ,2020-03-21,18:52:28+00:00,https://twitter.com/KlvnMnstr/status/1241437540013314048
We are just in the preliminary stages against this virus. Lets prepare to defeat COVID-19 all out!,2020-03-21,18:50:57+00:00,https://twitter.com/leodeebee/status/1241437157408911361
CORONA VIRUS UPDATE: WHO officials says at least 20 coronavirus vaccines are in development in global race for cure! @ABSCBNNews @rapplerdotcom @manilabulletin @piahontiveros #Covid_19 #Covid19India #StayHomeStaySafe #StayAtHome #JantaCurfewMarch22,2020-03-21,18:04:41+00:00,https://twitter.com/rekish_wandile/status/1241425514264326144
"Nangangati na paa ko umalis. Miss ko na Comembo, office, school, mga friends ko. What’s good covid f u!",2020-03-21,17:53:54+00:00,https://twitter.com/drscrbd/status/1241422801036165120
Corona Virus Update: 20 coronavirus vaccines are in development in global race for cure! @PMOIndia @CMOMaharashtra @timesofindia @ABSCBNNews @rapplerdotcom @MoHFW_INDIA #Covid_19 #CoronaChainScare #StayAtHome #StayHome24in48 #StayHomeSaveLives https://www.cnbc.com/2020/03/20/who-officials-say-at-least-20-coronavirus-vaccines-are-in-development-in-global-race-for-cure.html,2020-03-21,17:52:38+00:00,https://twitter.com/rekish_wandile/status/1241422480314527744
"While we are all in #Lockdown because of the COVID-19 pandemic, my friend artist from Malaysia, Arthana NJ and I have decided to do an #ArtForArtist: where we exchange caricature/artwork of each other, from our own art styles and medium.",2020-03-21,17:28:21+00:00,https://twitter.com/moimagnum/status/1241416368370548737
"The mortality rate currently stands at 9%, the highest worldwide! Meanwhile, 6,072 patients have recovered. #CoronavirusPandemic #coronavirus #Covid_19 #CoronaCrisis",2020-03-21,17:26:16+00:00,https://twitter.com/MSCuyugan_WX/status/1241415846259376128
"NEW: Italy reports 6,557 new cases & 793 new fatalities - setting the record for the biggest single-day report of confirmed cases & deaths. The total number of confirmed cases in the country is now 53,578 & 4,825 deaths. #CoVID19 #coronavirus #CoronavirusPandemic #CoronaCrisis",2020-03-21,17:25:02+00:00,https://twitter.com/MSCuyugan_WX/status/1241415536732332032
"Here’s the latest on 6-time PBA MVP JuneMar Fajardo, his thoughts on his injury, coronavirus &amp; his latest award https://www.philstar.com/sports/2020/03/22/2002583/june-mar-stays-home-does-his-share @StarSportsHub @OneSportsPh @PhilippineStar @CignalTV",2020-03-21,16:14:23+00:00,https://twitter.com/TheDeanQuinito/status/1241397755668398080
ang mga police at military may daily allowance way more than what the risky work being done by our health workers who daily are exposed to the critical covid virus and anytime may contract the disease pero sila pa un mas maliit allowance or no allowance at all from the natl govt,2020-03-21,16:06:39+00:00,https://twitter.com/DragonTaipan/status/1241395810710851585
The Church and Coronavirus: Four Lessons From History - Part 1 https://youtu.be/5h7zx-VST5M via @YouTube,2020-03-21,15:40:18+00:00,https://twitter.com/pinkykatipunan/status/1241389176051748867
TLDR: Put the Coronavirus infected who are only showing mild symptoms into hotels instead of gymnasiums and big halls. But a bad idea if they could pull it off. ,2020-03-21,15:28:45+00:00,https://twitter.com/kublermdk/status/1241386271026470912
Oo te! Nagalit na si God tuloy may coronavirus na! Mali kase ginagawa mo te!,2020-03-21,15:26:02+00:00,https://twitter.com/yannahdeleon/status/1241385585954058240
