tweet,clean,date,time,link
mas marami pa ang infected ng tiktok virus kesa covid jusko mama,infected tiktok virus kesa covid jusko mama,2020-03-21,16:50:00+00:00,https://twitter.com/fvckingjheaaan/status/1241406717633544192
Praise God If This True!! - A CORONAVIRUS CURE? Trials in France show GENERIC drugs have 100 percent... https://youtu.be/bM6vNRSKT4Y via @YouTube,praise god true coronavirus cure trials france show generic drugs percent via,2020-03-21,14:08:58+00:00,https://twitter.com/alvinanson/status/1241366194512257029
Reduce your risk of corona virus. No to Covid-19 #safetyfirst Open for #FRANCHISE #LowFranchiseFee 09151060888 09955770628 #MarianRivera #NAILANDIA #nailspafranchise #nailspa #nails #spa #business #businessopportunity #Covid_19,reduce risk corona virus covid open,2020-03-21,13:29:12+00:00,https://twitter.com/NailandiaSpa/status/1241356186739298304
Let’s fight COVID.. ooppss i mean boredom EZ GAMING (The Witcher ) https://youtu.be/ZwdCNtsMrsA via @YouTube,lets fight covid ooppss mean boredom gaming witcher via,2020-03-21,13:24:08+00:00,https://twitter.com/GuineBeck/status/1241354910341287937
"Becareful with Fake whatsapp forwards. Coronavirus survives on surfaces up to 72 hours. Virus will not disappear in 14 hours. It can survive up to 3 days on surfaces itself, up to 14 days in a normal person even if there’s no symptoms. #coronavirus #Covid_19 #CoronaCrisis",becareful fake whatsapp forwards coronavirus survives surfaces hours virus disappear hours survive days surfaces days normal person even theres symptoms,2020-03-21,12:39:21+00:00,https://twitter.com/DrSunilKumar_/status/1241343641823535104
"Relief goods or kahit anong paambon ng Barangay dito sa amin -WALA. Isama mo pa ang pa alcohol, vitamins, facemasks, kahit yung Quarantine Pass.... Ang bagal! Pero nung eleksyon, panay ang daan ng daan. Paging @VicoSotto fyi lang po. Ikaw nalang aasahan. #COVID19PH #Covid_19",relief goods anong paambon barangay isama mo alcohol vitamins facemasks quarantine pass bagal eleksyon panay daan daan paging fyi aasahan,2020-03-21,12:08:45+00:00,https://twitter.com/Deactivate2585/status/1241335940896952320
"This WhatsApp forward being spread by Bhakts is fake. Virus will not disappear in 14 hours. It can survive up to 3 days on surfaces itself, up to 14 days in a normal person even if there’s no symptoms. #Covid_19 #CoronaCrisis",whatsapp forward spread bhakts fake virus disappear hours survive days surfaces days normal person even theres symptoms,2020-03-21,11:51:26+00:00,https://twitter.com/DrSunilKumar_/status/1241331582272598016
"Tangina mo, Covid-19. Nurse na nagsabi sa’kin magbeer ako para maiwasan ka. Gago, aaraw-arawin ko na ‘to. Hindi ka makakapasok sa sistema ko. Ulol. Me is lasing atm ",mo covid nurse nagsabi sakin magbeer maiwasan aaraw arawin makakapasok sistema lasing atm,2020-03-21,11:25:01+00:00,https://twitter.com/kristinemareljj/status/1241324934376214528
"habang binabalot kami ng takot dito biglang kumana si jheylliane ‘hala product of china tong kinakain ko baka may covid to’ then sumagot si papa ‘nakita mo nang product of china,kinain mo pa’ ",binabalot takot biglang kumana jheylliane hala product china kinakain baka covid sumagot papa mo product china kinain mo,2020-03-21,11:17:18+00:00,https://twitter.com/__eliiiiiiii/status/1241322992765829120
"(1) How to avoid COVID and stay healthy? Andyan ang pagsusuot ng mask, hand washing, proper hygiene and social distancing. Pero bukod dun, dapat din natin iBOOST ang ating immune system by eating healthy foods and taking vitamins such as these. ",avoid covid stay healthy andyan pagsusuot mask hand washing proper hygiene social distancing bukod dun natin iboost immune system eating healthy foods taking vitamins,2020-03-21,08:15:40+00:00,https://twitter.com/iamnicolefaller/status/1241277281722458113
Wonder how many full blown alchohlics are going to be produced with this lockdown and how many coke dealers are going to go out of biz thoughts and prayers #coronavirus #CoronaCrisis,wonder many full blown alchohlics going produced lockdown many coke dealers going go thoughts prayers,2020-03-21,07:02:11+00:00,https://twitter.com/raymerrill/status/1241258788910497792
Guys ang kulit talaga ng dalawang ito. Sinabi ng stay at home pero gala ng gala. Basain ang mapa ni Dora. Si Diego isa din to. #StayAtHome #Covid_19 #CoronaCrisis #lockdown,guys kulit dalawang sinabi stay home gala gala basain mapa dora diego,2020-03-21,07:01:02+00:00,https://twitter.com/iamdmofficialph/status/1241258500417863680
"As I always wear this face mask, eventually my booger went white. Gross but it’s legit #Covid_19 #coronavirus",always wear mask eventually booger went white gross legit,2020-03-21,06:34:47+00:00,https://twitter.com/gelominaj/status/1241251895072571392
Unless that is the intent... make the fighting of Covid as costlier as possible so they have more rooms to pocket money.,unless intent make fighting covid costlier possible rooms pocket money,2020-03-21,05:14:23+00:00,https://twitter.com/voltgarcia/status/1241231662127579136
yung pasyente kong mas takot pa sa covid kesa sa sakit nya na pots disease. ,pasyente takot covid kesa sakit nya pots disease,2020-03-21,04:42:02+00:00,https://twitter.com/Loicee21/status/1241223519385481216
"Based on the speculations ng mga chismosa naming kapitbahay. He was PUI. Yes, having coronavirus. As in, yung lockdown yung area namin plus we are all required to close doors and social distancing",based speculations chismosa naming kapitbahay pui yes coronavirus lockdown area plus required close doors social distancing,2020-03-21,04:38:06+00:00,https://twitter.com/heyimboredkid/status/1241222527734538241
Ang di ko maintindihan bakit may mga tindahan na ayaw magpa pasok kung di ka naka-mask? This is applicable sa may sakit lang. Di po airborne ang COVID-19.,maintindihan tindahan ayaw magpa pasok naka mask applicable sakit airborne covid,2020-03-21,02:27:13+00:00,https://twitter.com/imkerfrancisco/status/1241189592264404993
social distancing na ang daming sumusingit !!!! #CoronaCrisis #Covid_19 #CoronaStopKaroNa #Super8,social distancing daming sumusingit,2020-03-21,01:49:57+00:00,https://twitter.com/zil_libay/status/1241180213951614977
3rd day of immune system boosting against COVID-19. ,3rd day immune system boosting covid,2020-03-21,00:36:46+00:00,https://twitter.com/samueltferrera/status/1241161796704071680
What if kaya lang nagmukhang mas marami ang covid-related death sa italy eh kasi itinago ng China yung totoong figures nila?,nagmukhang covid related death italy kasi itinago china totoong figures,2020-03-20,16:08:03+00:00,https://twitter.com/HashtagRonald/status/1241033773862416384
"We’ve survived the week! Just 25 days more before the enhanced community quarantine is lifted and hopefully, we are all free from the nightmare that is Covid-19. Meantime, we need to practice proper hygiene. Alcohol… https://www.instagram.com/p/B99ARBdHaur/?igshid=ua6dgera9abq",weve survived week days enhanced community quarantine lifted hopefully free nightmare covid meantime need practice proper hygiene alcohol,2020-03-20,11:07:20+00:00,https://twitter.com/shiela_culpa/status/1240958096542814208
"“Pwede kayong magbakasyon dyan lang sa bahay. Ikot-ikot muna kayo sa bahay n’yo baka may hindi pa kayo napupuntahan,” - Pres. Duterte Day 4 of #enhancedcommunityquarantine #covid_19 #stayathome #workathome… https://www.instagram.com/p/B985MHdHAPe/?igshid=1tcktgwio7il2",pwede kayong magbakasyon dyan bahay ikot ikot muna bahay nyo baka napupuntahan pres duterte day,2020-03-20,10:05:30+00:00,https://twitter.com/jm_ariva/status/1240942532638449664
Here are 10 Steps to prevent the spread of coronavirus and keep yourself and your loved ones safe: https://m.facebook.com/story.php?story_fbid=3113157785419166&amp;id=723039071097728,steps prevent spread coronavirus keep loved ones safe,2020-03-20,05:34:06+00:00,https://twitter.com/rsgabitan/status/1240874234668187648
