tweet,clean,topic
Off timing. We need media right now in info dissemination during this crisis. #nCoV_2019 - our government needs focus on main goals confronting our country. Who’s in charge right now ? ,timing need media right info dissemination crisis government needs focus main goals confronting country whos charge right,1
"Sa mga concerned na ahensya, paigtingin ang kampanya para maisulong ang kahalagahan ng proper hygiene at iba pang hakbang para makaiwas sa covid 19 tulad ng proper coughing etiquette, pagpostpone ng mga mass gatherings atbp",concerned ahensya paigtingin kampanya maisulong kahalagahan proper hygiene hakbang makaiwas proper coughing etiquette pagpostpone mass gatherings atbp,1
May this covid-19 pandemic remind us to #VoteWisely next election.,pandemic remind next election,1
"Experiencing headache, runny nose, cold. Symptoms of flu not COVID 19",experiencing headache runny nose cold symptoms,1
MGA KA-ROCKERS makinig kay Doc Willie Ong HINDI SOLUSYON ang SAGING sa COVID: Fake News at Fake Video ang nakita nyo ! Karamihan ng gulay at prutas ay masustansya. Health Advisory ni Doc Willie Ong Ang SAGING… https://www.instagram.com/p/B9yoUWSD-Ry/?igshid=1u5pda403e3qm,rockers makinig willie solusyon saging fake news fake video gulay prutas masustansya health advisory willie saging,1
Hahahaha itong nanay ko kala mo lahat ng kasama ko may covid eh,itong nanay kasama,1
"One takeaway from this nCov pandemic is that we should strengthen and add more teeth to laws against opportunists who add to the widespread panic and hysteria (i.e. those who share and peddle fake news, those who sell basic commodities at ridiculously high prices, etc.)",takeaway pandemic strengthen teeth laws opportunists widespread hysteria share peddle fake news sell basic commodities ridiculously high prices,1
oh sht tangina sinisipon ako!!!!!!! IS THIS NCOV KINAKABAHAN NA AKO ,sinisipon kinakabahan,1
Sa dinami dami ng credible sources ng info about Covid-19 dun ka pa talaga naniwala sa kumakalat na chain message sa fb messenger?,dinami dami credible sources info naniwala kumakalat chain message messenger,1
"Happy, happy birthday robiesianquita I wish for your great health (especially kontra COVID) and less stress para no more stress-rashes and you get to reserve your high pitch tone just for videoke! Luv yah ghorl! … https://www.instagram.com/p/B9tYEMfH55Z/?igshid=hngyz086z2ks",happy happy birthday robiesianquita wish great health especially kontra less stress stress rashes reserve high pitch tone videoke ghorl,1
Hahaha happy sana kaso may laganap na Covid-19 sa labas. ,happy kaso laganap labas,1
"Thank you Mayor Joy Belmonte at least we know kung ano ang meron at wala. See you sa 2022 election. For now, let’s focus sa Covid-19.",thank mayor belmonte least know meron election lets focus,1
"Quezon City, naitala na ang unang kaso ng COVID-19 kinumpirma mismo ni Mayor Joy Belmonte ngayong umaga sa DZMM. #COVID19",quezon city naitala unang kaso kinumpirma mayor belmonte ngayong umaga dzmm,1
