tweet,date,time,link
"#starmaker #lordhealourland #praying that Philippines will be #covid_19 free soon in Jesus name @Lower Bicutan, Taguig City https://www.instagram.com/p/B-A9ZqVJv_q/?igshid=1aashoqfo0rew",2020-03-21,23:59:27+00:00,https://twitter.com/TrisFinity/status/1241514793489420288
"This is AMAZING!!! Korea’s COVID-19 ""phone booths"" testing centers, WOW!!! Care and concern, creativity and ingenuity at it’s best Let us #StopTheSpread of #COVID19 ",2020-03-21,23:56:39+00:00,https://twitter.com/mabuhayqueen/status/1241514088049471488
"IMPORTANT ANNOUNCEMENT -SPAIN VISA APPPLICATIONS In order to contain the spread of COVID-19, the Consulate General of Spain - Manila Office announced the cancellation of acceptance of all visa applications from March 18. Se our FB page for updates on other countries Visa status ",2020-03-21,23:52:48+00:00,https://twitter.com/arcticket/status/1241513117848424450
ehhhh covid po kasheeee yun hindi covit ,2020-03-21,23:50:45+00:00,https://twitter.com/msummersolstice/status/1241512604893188096
Doc sana po yung QUEZON INSTITUTE nalang ang gawing center for the #CoVid patients mas malakas at mapuno good for the respiratory system and doon nalang nila ilagay yung 14 Billion pesos na budget for renovation. ,2020-03-21,23:46:20+00:00,https://twitter.com/pauloMDtweets/status/1241511491339030528
G na pagnawalanna COVID ,2020-03-21,23:44:38+00:00,https://twitter.com/AybanPol/status/1241511063461326849
"As this pandemic goes on, pace yourself. Limit the fucks you give to the essentials in your life. #pandemic #covid19 #coronavirus #covid19thoughts #zerofucksgiven #nofucksgiven",2020-03-21,23:37:28+00:00,https://twitter.com/i_am_allen09/status/1241509259709272064
Bakit hindi trending si Mayor Joy dami hanash.. Mukhang lahat ng galit sa gobyerno taga QC. #Covid_19 #QuaratineLife #QuaratineLife,2020-03-21,23:27:13+00:00,https://twitter.com/murdoc_parker/status/1241506682384961536
"What If by Gurpreet K. Gill There is so much fear, and perhaps rightfully so, about COVID-19. And, what if… If we subscribe to the philosophy that life is always working out for us, that… https://www.instagram.com/p/B-A5Riyhm5vcxEarrQqgVTNdsS_euIM13WTBmo0/?igshid=1dzjqu7ldo4mn",2020-03-21,23:23:13+00:00,https://twitter.com/cherpayuyo879/status/1241505675114622983
"“Stay healthy and, above all, keep calm.” Mindanao-based Kuya Duoi Ampilan shares his reflections on #coronavirus and insights from his experiences as a frontline responder assigned to communities affected by the deadly Ebola virus in Liberia and Sierra Leone. #COVID19PH",2020-03-21,23:16:42+00:00,https://twitter.com/pa3ciamiranda/status/1241504034864812033
Heal the world my Lord #Covid_19 #SundayThoughts,2020-03-21,23:03:38+00:00,https://twitter.com/Aldencraig10/status/1241500744731086848
