tweet,date,time,link
"#starmaker #lordhealourland #praying that Philippines will be #covid_19 free soon in Jesus name @Lower Bicutan, Taguig City https://www.instagram.com/p/B-A9ZqVJv_q/?igshid=1aashoqfo0rew",2020-03-21,23:59:27+00:00,https://twitter.com/TrisFinity/status/1241514793489420288
"IMPORTANT ANNOUNCEMENT -SPAIN VISA APPPLICATIONS In order to contain the spread of COVID-19, the Consulate General of Spain - Manila Office announced the cancellation of acceptance of all visa applications from March 18. Se our FB page for updates on other countries Visa status ",2020-03-21,23:52:48+00:00,https://twitter.com/arcticket/status/1241513117848424450
ehhhh covid po kasheeee yun hindi covit ,2020-03-21,23:50:45+00:00,https://twitter.com/msummersolstice/status/1241512604893188096
Doc sana po yung QUEZON INSTITUTE nalang ang gawing center for the #CoVid patients mas malakas at mapuno good for the respiratory system and doon nalang nila ilagay yung 14 Billion pesos na budget for renovation. ,2020-03-21,23:46:20+00:00,https://twitter.com/pauloMDtweets/status/1241511491339030528
G na pagnawalanna COVID ,2020-03-21,23:44:38+00:00,https://twitter.com/AybanPol/status/1241511063461326849
Bakit hindi trending si Mayor Joy dami hanash.. Mukhang lahat ng galit sa gobyerno taga QC. #Covid_19 #QuaratineLife #QuaratineLife,2020-03-21,23:27:13+00:00,https://twitter.com/murdoc_parker/status/1241506682384961536
"What If by Gurpreet K. Gill There is so much fear, and perhaps rightfully so, about COVID-19. And, what if… If we subscribe to the philosophy that life is always working out for us, that… https://www.instagram.com/p/B-A5Riyhm5vcxEarrQqgVTNdsS_euIM13WTBmo0/?igshid=1dzjqu7ldo4mn",2020-03-21,23:23:13+00:00,https://twitter.com/cherpayuyo879/status/1241505675114622983
Heal the world my Lord #Covid_19 #SundayThoughts,2020-03-21,23:03:38+00:00,https://twitter.com/Aldencraig10/status/1241500744731086848
"Kapag DININIG na ng AMANG DIYOS sa langit ang dasal namin na ALISIN ka na... sana wag mo isama sa pag-alis mo yung mga MAGAGANDANG EPEKTONG dala mo sa buhay namin. HEAL THE WORLD! Bye, COVID-19! In GOD we TRUST! COPY PASTE/EDITED CTTO",2020-03-21,22:58:29+00:00,https://twitter.com/itsgab01/status/1241499450494701569
"At pinaalala samin na YOU ARE IN CONTROL OF ALL THINGS! COVID-19 kahit nakakatakot ka... kahit bad ka sa katawan ng tao... totoo pla, I SEE THE GOOD IN THE BAD.. ",2020-03-21,22:57:24+00:00,https://twitter.com/itsgab01/status/1241499178963853313
IBA ka COVID-19. Ang dami mong binago sa isang iglap.. - BINUO mo yung PAMILYA na minsan lang kumain sa hapag kainan nang sama-sama.. - NAPAPIRMI mo ng BAHAY yung mga anak na sakit ng ulo ng kanilang mga magulang sa sobrang layas at gala.. ,2020-03-21,22:47:15+00:00,https://twitter.com/itsgab01/status/1241496622405574657
Asin ba ang lunas sa COVID-19? ,2020-03-21,22:45:31+00:00,https://twitter.com/trewaldo/status/1241496184998387712
"Santolan Pasig -WALA. Paging @VicoSotto paki kalampag nga po. Noong eleksyon ang sisipag magbahay-bahay. Nung pasko, may pa-party pa. Ngayon na may #Covid_19 wait lang daw. Isang lingo na kaming naghintay sa wala.",2020-03-21,22:00:27+00:00,https://twitter.com/Deactivate2585/status/1241484844212858882
Covid will end soon ,2020-03-21,21:58:16+00:00,https://twitter.com/bnophone/status/1241484297543897088
Uuwi na ako ng quezon after ng COVID na to. Hahahaha,2020-03-21,21:54:47+00:00,https://twitter.com/elymercado24/status/1241483421131493377
Matapos lang tong NCOV magdadate na tayo hahah,2020-03-21,21:51:39+00:00,https://twitter.com/Coloberew/status/1241482630693978112
